,Item Description,Vendor Number
2495,Hudson Baby Bourbon,240.0
2519,Slow and Low,121.0
2527,Takovo Sljivovica Plum Brandy,261.0
2543,Five O'clock Gin,297.0
2554,Remy Martin V,389.0
2580,Paul Masson Red Berry Grande Amber,115.0
2591,Goldschlager Cinnamon Schnapps Mini,260.0
2594,Paul Masson Peach Grande Amber Brandy Mini,115.0
2595,Jagermeister Liqueur Mini,192.0
2623,Jose Cuervo Authentic Lime Margarita 4pk Cans,395.0
2624,Jose Cuervo Authentic Strawberry Lime Margarita 4pk Cans,395.0
2676,Famous Grouse Scotch,266.0
2691,Wild Turkey 81,461.0
2701,Bird Dog Peach Flavored Whiskey,492.0
2704,Bulldog Gin,461.0
2705,Gordon's Gin London Dry - Pet,260.0
2715,Pinnacle Whipped,65.0
2719,Fleischmann's Royal Vodka,55.0
2720,Gordon's Vodka 80 Prf,260.0
2728,Smirnoff Silver Vodka 90 Prf,260.0
2741,Don Q Cristal Rum,451.0
2742,Cruzan 151,65.0
2766,Midori Melon Liqueur,65.0
2767,Kahlua French Vanilla Liqueur,370.0
2787,El Mayor Blanco,434.0
2791,El Jimador Reposado Tequila,85.0
2832,Glenmorangie 10 Yr Single Malt Scotch,420.0
2846,Rich & Rare Apple Mini,421.0
